"","ZAMC00040.mzXML.Peak.area","ZAMC00016.mzXML.Peak.area","ZAMC00029.mzXML.Peak.area","ZAMC00047.mzXML.Peak.area","ZAMC00009.mzXML.Peak.area","ZAMC00027.mzXML.Peak.area","ZAMC00045.mzXML.Peak.area","ZAMC00032.mzXML.Peak.area","ZAMC00038.mzXML.Peak.area","ZAMC00001.mzXML.Peak.area","ZAMC00052.mzXML.Peak.area","ZAMC00023.mzXML.Peak.area","ZAMC00014.mzXML.Peak.area","ZAMC00025.mzXML.Peak.area","ZAMC00020.mzXML.Peak.area","ZAMC00041.mzXML.Peak.area","ZAMC00018.mzXML.Peak.area","ZAMC00012.mzXML.Peak.area","ZAMC00031.mzXML.Peak.area","ZAMC00003.mzXML.Peak.area","ZAMC00005.mzXML.Peak.area","ZAMC00026.mzXML.Peak.area","ZAMC00021.mzXML.Peak.area","ZAMC00036.mzXML.Peak.area","ZAMC00007.mzXML.Peak.area","ZAMC00015.mzXML.Peak.area","ZAMC00033.mzXML.Peak.area","ZAMC00034.mzXML.Peak.area","ZAMC00043.mzXML.Peak.area","ZAMC00037.mzXML.Peak.area","ZAMC00049.mzXML.Peak.area","ZAMC00039.mzXML.Peak.area","ZAMC00024.mzXML.Peak.area","ZAMC00046.mzXML.Peak.area","ZAMC00050.mzXML.Peak.area","ZAMC00028.mzXML.Peak.area","ZAMC00019.mzXML.Peak.area","ZAMC00013.mzXML.Peak.area","ZAMC00017.mzXML.Peak.area","ZAMC00022.mzXML.Peak.area","ZAMC00051.mzXML.Peak.area","ZAMC00042.mzXML.Peak.area","ZAMC00008.mzXML.Peak.area","ZAMC00030.mzXML.Peak.area","ZAMC00006.mzXML.Peak.area","ZAMC00044.mzXML.Peak.area","ZAMC00035.mzXML.Peak.area","ZAMC00004.mzXML.Peak.area","ZAMC00011.mzXML.Peak.area","ZAMC00010.mzXML.Peak.area","ZAMC00002.mzXML.Peak.area","ZAMC00048.mzXML.Peak.area"
"ZAMC00052.mzXML.Peak.area",0.687837594766442,0.733256303198958,0.715853350337977,0.66017636097687,0.812417367589627,0.742351444411893,0.720328654947117,0.713810387365663,0.858872453530396,0.721957002023225,1,0.674778481649251,0.711298331387492,0.799268593560097,0.777017668128904,0.74131661335548,0.726771992736842,0.760606249516861,0.689080596431536,0.798416703976361,0.796981424344266,0.790498901812104,0.713245092954508,0.976936128098881,0.947337951699999,0.609125412371479,0.743224253908717,0.700751444142041,0.698685678624079,0.95365583943666,0.978907740692949,0.766075617832067,0.74935451140641,0.688574457878978,0.951237448677262,0.777960017845245,0.745373721698576,0.658342804166379,0.805255378818882,0.600812991125495,0.833820318272674,0.742202773667441,0.79522942918729,0.678737366745729,0.609744987567353,0.694695386615624,0.912245492928227,0.965839100037611,0.895639049757325,0.659678587883736,0.700644509787051,0.841593955826075
"ZAMC00023.mzXML.Peak.area",0.98136790300868,0.765440061657849,0.945712460324339,0.851856581628289,0.852326504171617,0.865372508680231,0.934272508647462,0.946255055672466,0.792848117739339,0.554005985186651,0.674778481649251,1,0.904351459655945,0.707601373589624,0.708561520005417,0.930334547215411,0.934126094985723,0.812780845121836,0.859860905958796,0.861644784787372,0.846901777948948,0.867937598777243,0.950910517170748,0.652383291518504,0.717640239008908,0.774459491131083,0.915240802984736,0.947644545152633,0.951246731347658,0.658197261099,0.606652859810188,0.580404339030246,0.555799205922481,0.960488117214054,0.695536494123366,0.885618059918361,0.776885694070472,0.64770810229165,0.83363371915608,0.697880713935083,0.467838108314568,0.903295448701814,0.7881885565747,0.961311167377813,0.920288707112426,0.970267153710024,0.622263450212202,0.697855350441751,0.819486825751015,0.715642491171588,0.981459357082429,0.610258519244366
"ZAMC00014.mzXML.Peak.area",0.935148243133028,0.893138436700134,0.962187682906957,0.927698422354614,0.869053194362174,0.945287098702403,0.973871161328734,0.973797373289062,0.772991307687221,0.619175942465579,0.711298331387492,0.904351459655945,1,0.806450507374219,0.83249121616905,0.939072219604018,0.964759078530304,0.91761718673234,0.93280004803065,0.900689477487284,0.887555686260971,0.916382404993887,0.960568933225667,0.684014121611728,0.790945572264938,0.871682637168619,0.972627349588691,0.922086328126978,0.961352780020602,0.691499296679912,0.644823463023872,0.627295861162078,0.707032815868407,0.953412948495761,0.752813396162685,0.920993948594091,0.907636219121827,0.785304813881907,0.885476844538963,0.848971260589114,0.575570751548944,0.944743479256172,0.901611254707681,0.89267218843236,0.838710252015179,0.941158398280233,0.659140643386774,0.713187204226625,0.840855903163239,0.843386308001488,0.930069128333952,0.605857711657731
"ZAMC00025.mzXML.Peak.area",0.718917715813809,0.863690592507495,0.79363109919893,0.803401140940302,0.878384466890448,0.865650177994037,0.809285031896626,0.794732404479601,0.728357923666458,0.741718826620562,0.799268593560097,0.707601373589624,0.806450507374219,1,0.915831352249127,0.757690232381958,0.811114141040814,0.891815494829421,0.850087224685699,0.852103586459372,0.863543342235742,0.87330293273613,0.76237589329109,0.782613675544339,0.876701753748507,0.780245884400616,0.822529890949732,0.69420900238928,0.74386715050665,0.773471809722181,0.780111679416802,0.608229827238497,0.911202985614098,0.765325635659163,0.802584702608084,0.849928806160577,0.905744201893433,0.896661629730375,0.924407176107948,0.790139269681619,0.748221416312062,0.812264051931816,0.898870404534911,0.668329403292703,0.603125386388143,0.734678299531416,0.756840818445722,0.762478538394578,0.857128624641772,0.867726888166115,0.736216569598694,0.65274969662233
"ZAMC00020.mzXML.Peak.area",0.745308408186474,0.845370022217983,0.821036950091579,0.814706561554937,0.832133316796351,0.880404179019809,0.834895196696445,0.806598704283477,0.718362858374707,0.707239497371634,0.777017668128904,0.708561520005417,0.83249121616905,0.915831352249127,1,0.804332787119551,0.809836609785147,0.889899674728036,0.855057049055446,0.873906860787351,0.855042336661525,0.8907810913484,0.769419518914568,0.746253831217602,0.835550529127745,0.784573841942069,0.823657642444567,0.735909106201746,0.774761645905804,0.736300277919905,0.754711155360414,0.587682911850258,0.893705638131109,0.778285680678968,0.768401135352316,0.871709688197837,0.923920128242242,0.848177493452478,0.882470437935324,0.795341106541914,0.667472928077413,0.835941502928991,0.902086915587718,0.688645613327535,0.627393031494102,0.744011099083441,0.704212467884236,0.724519254508676,0.819075120929072,0.832971129690551,0.756573612674488,0.642700108939412
"ZAMC00041.mzXML.Peak.area",0.950336931162094,0.801673256456841,0.938980701197194,0.831058462800962,0.883517320010499,0.908501853907356,0.946117111265977,0.947621202282754,0.853592034757623,0.601432957463421,0.74131661335548,0.930334547215411,0.939072219604018,0.757690232381958,0.804332787119551,1,0.9530594214289,0.858175340385488,0.852399522171608,0.925775590100277,0.90052822596253,0.924735993842972,0.959630784835871,0.710785769672264,0.771635830482503,0.75629102252908,0.941936670744434,0.972923622936589,0.959688527666087,0.712060433891955,0.675424172593368,0.597542704256318,0.634722456764253,0.930527217497063,0.753033082139874,0.93811136016146,0.84128949042678,0.669148482759227,0.867506003389291,0.703611419302198,0.51067537949031,0.955026852727691,0.844371605077497,0.920256176854912,0.882306390705642,0.948827322999234,0.666240570574666,0.748173087047573,0.863940968855968,0.749726236426917,0.948346716232091,0.680053464174602
"ZAMC00018.mzXML.Peak.area",0.94327850231813,0.905265177559559,0.955187348516005,0.908684515986249,0.898415824867839,0.957965504114939,0.970245629254173,0.977418334413516,0.797074795671474,0.615483834879974,0.726771992736842,0.934126094985723,0.964759078530304,0.811114141040814,0.809836609785147,0.9530594214289,1,0.931510315635391,0.918879648919328,0.905748328340117,0.903733630395845,0.924169089009395,0.970130227389422,0.705789672493113,0.799307520001042,0.847215666632278,0.986038934406403,0.924353760045006,0.956801734325079,0.715352076267231,0.659228977711998,0.656177224374396,0.680740526216287,0.947269109174556,0.766737263784735,0.935527892189646,0.899558036576481,0.781029670455531,0.911864786020217,0.787939686267535,0.587526941658596,0.954211216205051,0.904152566026975,0.90435092257109,0.845663564651594,0.950857641493015,0.687980652408392,0.740436990130383,0.867565753475939,0.825540939144863,0.936016604788653,0.620764448550714
"ZAMC00012.mzXML.Peak.area",0.836263203256281,0.974603314283574,0.903500330507803,0.917454432120586,0.862334863445742,0.97102753322646,0.919239720331522,0.909213304998889,0.722604863764568,0.661387053599992,0.760606249516861,0.812780845121836,0.91761718673234,0.891815494829421,0.889899674728036,0.858175340385488,0.931510315635391,1,0.936901176961215,0.867651552319766,0.871393215488114,0.899296749406969,0.879582547839063,0.750590650137231,0.84883715728485,0.878945770158446,0.943204280813188,0.79656857797504,0.862688510030531,0.754036062555858,0.720486419428835,0.70645341692705,0.799084871549592,0.876143615721158,0.787933339612911,0.899374844579324,0.973114341288867,0.878419699739021,0.918910294087747,0.852177774786696,0.705940564769198,0.911234263419158,0.975714587358501,0.790204856425612,0.706546517725993,0.848633109780493,0.744044792859648,0.751492074208478,0.853161842657842,0.904136767070998,0.840340477018929,0.597110432374536
"ZAMC00031.mzXML.Peak.area",0.892382756046981,0.924934875373809,0.961442969910063,0.974804008567689,0.812683709986646,0.921161236129068,0.953051371124972,0.932410190133347,0.674801816582414,0.614138914882195,0.689080596431536,0.859860905958796,0.93280004803065,0.850087224685699,0.855057049055446,0.852399522171608,0.918879648919328,0.936901176961215,1,0.832599492792484,0.832142578756923,0.863563657371505,0.896002164551007,0.666771647371666,0.779705125549372,0.93649462407037,0.936844786976647,0.823389755893634,0.900422047264932,0.669473191725104,0.642161663379903,0.628741572876436,0.764587985564619,0.938790264640596,0.723521176326407,0.862153615237056,0.930645063628848,0.832636792825915,0.869578460080152,0.906342709554727,0.618693897092678,0.87336994670162,0.916607955266595,0.836587663698249,0.761648478495325,0.897051783631652,0.647288869175858,0.670596223927112,0.789155418642596,0.864323067411354,0.896467663544539,0.550090161118088
"ZAMC00003.mzXML.Peak.area",0.885369280808211,0.811586772538845,0.888769718793179,0.822024534065487,0.959147836774632,0.916814622189103,0.897119642010272,0.900497656474935,0.90140842686725,0.690012120409917,0.798416703976361,0.861644784787372,0.900689477487284,0.852103586459372,0.873906860787351,0.925775590100277,0.905748328340117,0.867651552319766,0.832599492792484,1,0.978721080469807,0.9848283987237,0.901331164283994,0.768422751630253,0.854533838673448,0.758761961267346,0.901346390433138,0.897618587238844,0.906000286269707,0.773362315412888,0.727570556053695,0.589311355298247,0.745208313401635,0.882098104880181,0.830801821649291,0.977906397922931,0.873128849528966,0.78381035748436,0.949817038241705,0.73500793990341,0.61248036786502,0.951943587461601,0.879802732458342,0.851163965906495,0.813434237171194,0.889670316716296,0.732257491356938,0.805237897537425,0.9312040090928,0.790679143664433,0.88217151221675,0.725896689234588
